,#,Name,Variation,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Name_Variation,Mega_Variation,Type2_Not_Null
0,1,Bulbasaur,,Grass,Poison,318,45,49,49,65,65,45,Bulbasaur ,False,Poison
1,2,Ivysaur,,Grass,Poison,405,60,62,63,80,80,60,Ivysaur ,False,Poison
2,3,Venusaur,,Grass,Poison,525,80,82,83,100,100,80,Venusaur ,False,Poison
3,3,Venusaur,Mega Venusaur,Grass,Poison,625,80,100,123,122,120,80,Venusaur Mega Venusaur,True,Poison
4,4,Charmander,,Fire,,309,39,52,43,60,50,65,Charmander ,False,Fire
5,5,Charmeleon,,Fire,,405,58,64,58,80,65,80,Charmeleon ,False,Fire
6,6,Charizard,,Fire,Flying,534,78,84,78,109,85,100,Charizard ,False,Flying
7,6,Charizard,Mega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,Charizard Mega Charizard X,True,Dragon
8,6,Charizard,Mega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,Charizard Mega Charizard Y,True,Flying
9,7,Squirtle,,Water,,314,44,48,65,50,64,43,Squirtle ,False,Water
10,8,Wartortle,,Water,,405,59,63,80,65,80,58,Wartortle ,False,Water
11,9,Blastoise,,Water,,530,79,83,100,85,105,78,Blastoise ,False,Water
12,9,Blastoise,Mega Blastoise,Water,,630,79,103,120,135,115,78,Blastoise Mega Blastoise,True,Water
13,10,Caterpie,,Bug,,195,45,30,35,20,20,45,Caterpie ,False,Bug
14,11,Metapod,,Bug,,205,50,20,55,25,25,30,Metapod ,False,Bug
15,12,Butterfree,,Bug,Flying,395,60,45,50,90,80,70,Butterfree ,False,Flying
16,13,Weedle,,Bug,Poison,195,40,35,30,20,20,50,Weedle ,False,Poison
17,14,Kakuna,,Bug,Poison,205,45,25,50,25,25,35,Kakuna ,False,Poison
18,15,Beedrill,,Bug,Poison,395,65,90,40,45,80,75,Beedrill ,False,Poison
19,15,Beedrill,Mega Beedrill,Bug,Poison,495,65,150,40,15,80,145,Beedrill Mega Beedrill,True,Poison
20,16,Pidgey,,Normal,Flying,251,40,45,40,35,35,56,Pidgey ,False,Flying
21,17,Pidgeotto,,Normal,Flying,349,63,60,55,50,50,71,Pidgeotto ,False,Flying
22,18,Pidgeot,,Normal,Flying,479,83,80,75,70,70,101,Pidgeot ,False,Flying
23,18,Pidgeot,Mega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,Pidgeot Mega Pidgeot,True,Flying
24,19,Rattata,,Normal,,253,30,56,35,25,35,72,Rattata ,False,Normal
25,19,Rattata,Alolan Rattata,Dark,Normal,253,30,56,35,25,35,72,Rattata Alolan Rattata,False,Normal
26,20,Raticate,,Normal,,413,55,81,60,50,70,97,Raticate ,False,Normal
27,20,Raticate,Alolan Raticate,Dark,Normal,413,75,71,70,40,80,77,Raticate Alolan Raticate,False,Normal
28,21,Spearow,,Normal,Flying,262,40,60,30,31,31,70,Spearow ,False,Flying
29,22,Fearow,,Normal,Flying,442,65,90,65,61,61,100,Fearow ,False,Flying
30,23,Ekans,,Poison,,288,35,60,44,40,54,55,Ekans ,False,Poison
31,24,Arbok,,Poison,,448,60,95,69,65,79,80,Arbok ,False,Poison
32,25,Pikachu,,Electric,,320,35,55,40,50,50,90,Pikachu ,False,Electric
33,25,Pikachu,Partner Pikachu,Electric,,430,45,80,50,75,60,120,Pikachu Partner Pikachu,False,Electric
34,26,Raichu,,Electric,,485,60,90,55,90,80,110,Raichu ,False,Electric
35,26,Raichu,Alolan Raichu,Electric,Psychic,485,60,85,50,95,85,110,Raichu Alolan Raichu,False,Psychic
36,27,Sandshrew,,Ground,,300,50,75,85,20,30,40,Sandshrew ,False,Ground
37,27,Sandshrew,Alolan Sandshrew,Ice,Steel,300,50,75,90,10,35,40,Sandshrew Alolan Sandshrew,False,Steel
38,28,Sandslash,,Ground,,450,75,100,110,45,55,65,Sandslash ,False,Ground
39,28,Sandslash,Alolan Sandslash,Ice,Steel,450,75,100,120,25,65,65,Sandslash Alolan Sandslash,False,Steel
40,29,Nidoran♀,,Poison,,275,55,47,52,40,40,41,Nidoran♀ ,False,Poison
41,30,Nidorina,,Poison,,365,70,62,67,55,55,56,Nidorina ,False,Poison
42,31,Nidoqueen,,Poison,Ground,505,90,92,87,75,85,76,Nidoqueen ,False,Ground
